"","studyID","Case.study","zcor.ECD.LD","var.zcor.ECD.LD","n.replicate.LD","LD.metric","LD.unit","study_type","experiment_type","system","ecosystem","country","exp_duration","litter.species","litter.type","meshsize..mm.","ECD_subcategory","ECD_identity","ECD_mixture","ECD_mixture_identity_type","ECD_intensity_norm_max","ECD_intensity_norm_min","ECD_magnitude","ES_origin","k_rate_imputation_M1","zcor.ECD.LDd","var.zcor.ECD.LDd","n.replicate.LDd"
"1",34,34.1,-1.12702902604969,0.0144927536231884,72,"rate (k)","d-1","observational","field","aquatic","stream","France",21,"Alnus glutinosa","broad leaves","9","pesticides","pesticide mixture","yes","stressors",-1.8,-5.6,3.8,"Correlation","SD not imputed",NA,NA,NA
"2",34,34.1,0.130739850028878,0.0144927536231884,72,"rate (k)","d-1","observational","field","aquatic","stream","France",21,"Alnus glutinosa","broad leaves","0.5","pesticides","pesticide mixture","yes","stressors",0.8,-4.89,5.69,"Correlation","SD not imputed",NA,NA,NA
"3",25,25.1,0.173570164140982,0.00952380952380952,108,"rate (k)","d-1","observational","field","aquatic","boreal stream","Sweden",34,"Alnus glutinosa","broad leaves","5","nutrient enrichment","DIN","yes","stressors, resources",-0.752880039971948,-5.1892834455239,4.43640340555195,"Correlation","SD not imputed",NA,NA,NA
"4",42,42.1,-0.259937866708111,0.0666666666666667,18,"mass loss","ratio","observational","field","aquatic","stream","Italy",21,"Alder; Oak; white hornbeam","leaves and twigs","10","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed",NA,NA,NA
"5",42,42.1,0.576533775760138,0.0666666666666667,18,"mass loss","ratio","observational","field","aquatic","stream","Italy",21,"Prunus laurocerasus","leaves and twigs","10","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed",NA,NA,NA
"6",42,42.1,-0.214453287054584,0.0666666666666667,18,"mass loss","ratio","observational","field","aquatic","stream","Italy",21,"Robinia pseudoacacia","leaves and twigs","10","wastewater","NH4","yes","stressors, resources",3.44922535067274,-2.55876849838646,6.0079938490592,"Correlation","SD not imputed",NA,NA,NA
"7",47,47.1,-1.04174682703602,0.00980392156862745,105,"rate (k)","d-1","observational","field","aquatic","Mountain stream","USA",171,"Salix spp.","broad leaves","5","metals","Zn","yes","stressors",2.87734225760583,0.342004754190939,2.53533750341489,"Correlation","SD not imputed",NA,NA,NA
"8",96,96.1,-0.574435241027575,0.0769230769230769,16,"dry mass remaining","%","experimental","microcosm","aquatic","stream","Portugal",40,"Alnus glutinosa","leaf discs",NA,"metals","Zn","no",NA,6.16586647676387,-5.1892834455239,11.3551499222878,"Correlation","SD approximated",NA,NA,NA
"9",98,98.1,-0.422361380827224,0.0072992700729927,140,"rate (k)","d-1","observational","field","aquatic","stream","Portugal",77,"Alnus glutinosa","broad leaves","0.5","nutrient enrichment","NH4","yes","stressors, resources",4.5173220954149,-3.65738078705457,8.17470288246947,"Correlation","SD not imputed",NA,NA,NA
"10",98,98.2,-0.819249732335118,0.0072992700729927,140,"rate (k)","d-1","observational","field","aquatic","stream","France",77,"Alnus glutinosa","broad leaves","0.5","nutrient enrichment","NH4","yes","stressors, resources",3.14501397626975,-1.78557861015297,4.93059258642272,"Correlation","SD not imputed",NA,NA,NA
